% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME.R,0.11011359706964487,7,87,median,0.992491,3
SAMME,1.8325166528554644,3,448,most_frequent,0.99562,3
SAMME,0.010313782810852407,7,175,most_frequent,0.979662,3
SAMME.R,1.5940294909769086,7,159,most_frequent,0.997497,3
SAMME,0.6382232852082853,8,434,most_frequent,0.995932,3
SAMME.R,0.28193947330491775,5,61,median,0.99562,3
SAMME.R,0.8183075935447501,4,367,median,0.99562,3
SAMME.R,0.48801710254206776,3,198,most_frequent,0.995307,3
SAMME.R,0.06745968768548256,7,484,median,0.991552,3
SAMME,0.12725682190804147,3,259,mean,0.973404,3
SAMME.R,0.689143464558073,8,104,mean,0.994681,3
SAMME,0.020524814795654385,2,190,median,0.904255,3
SAMME,0.2112743446512728,2,379,mean,0.97403,3
SAMME.R,0.10184392032866972,8,120,median,0.992804,3
SAMME,0.011332552672710274,4,134,mean,0.940864,3
SAMME.R,0.011450747100568554,10,330,mean,0.995307,3
SAMME,0.08450791402485983,4,152,mean,0.967772,3
SAMME.R,1.0256133658049218,10,310,most_frequent,0.995307,3
SAMME.R,0.05628671273279598,5,325,mean,0.996245,3
SAMME.R,0.12288150144906376,6,110,mean,0.993742,3
SAMME.R,0.02002196552705182,9,142,most_frequent,0.994994,3
SAMME.R,0.08370770253646478,4,250,median,0.996245,3
SAMME.R,0.016925868796067854,9,475,most_frequent,0.992491,3
SAMME,0.730060859655428,9,442,most_frequent,0.996245,3
SAMME.R,1.3417553387015762,9,281,most_frequent,0.996558,3
SAMME,0.5611435273475742,6,398,most_frequent,0.996558,3
SAMME.R,0.5891805842687384,10,244,mean,0.994681,3
SAMME,0.6478105418025039,10,77,mean,0.996245,3
SAMME.R,0.16678297338218676,5,103,most_frequent,0.99562,3
SAMME.R,0.2598409155747544,8,263,most_frequent,0.990926,3
SAMME.R,0.059674074983146835,8,195,mean,0.991552,3
SAMME.R,1.110816389564238,1,404,mean,0.966521,3
SAMME.R,0.037843083287104916,7,207,median,0.991239,3
SAMME.R,0.02575619754850261,2,477,mean,0.982791,3
SAMME,0.42768630480653763,3,415,median,0.985607,3
SAMME,0.09326977212570965,8,337,median,0.995932,3
SAMME.R,0.2628813691895313,10,324,most_frequent,0.992804,3
SAMME,0.30567325418650887,2,118,mean,0.959637,3
SAMME,0.05460041569882508,9,188,most_frequent,0.996245,3
SAMME,0.024911605547518728,8,256,median,0.995932,3
SAMME,0.03219105574788283,1,450,most_frequent,0.807885,3
SAMME,0.07558799140861186,8,191,most_frequent,0.995307,3
SAMME.R,0.027487341491001446,10,254,most_frequent,0.993742,3
SAMME,0.06908643339731121,4,287,median,0.980601,3
SAMME.R,0.1728127879243248,8,268,most_frequent,0.991239,3
SAMME.R,0.2068970970134916,4,266,most_frequent,0.99562,3
SAMME,0.12996396627774504,2,354,mean,0.967146,3
SAMME.R,0.019476644654043192,7,241,mean,0.992491,3
SAMME,0.776890824031276,2,400,mean,0.968398,3
SAMME.R,0.04873124217583328,6,187,median,0.994994,3
SAMME,0.018914606258241384,10,375,median,0.996871,3
SAMME.R,0.07432787332889285,5,110,most_frequent,0.994994,3
SAMME.R,0.9212492391694594,5,370,most_frequent,0.996871,3
SAMME.R,0.07153906762526294,7,377,median,0.993742,3
SAMME.R,0.9407240399714512,10,436,median,0.99562,3
SAMME,0.7302436352513115,9,136,mean,0.995932,3
SAMME.R,0.20272091243678786,10,82,median,0.992178,3
SAMME,0.06000635705472061,5,383,most_frequent,0.991865,3
