task_id,param_id,param_name,variance_contribution
3918,complexity / gamma,complexity / gamma,0.11852476488909353
3918,complexity,complexity,0.03423496173976272
3918,coef0 / gamma,coef0 / gamma,0.06503974270166923
3918,gamma / tol,gamma / tol,0.07883925396622968
3918,coef0,coef0,0.011468837417722725
3918,tol,tol,0.04048948354275125
3918,imputation,imputation,0.0066588785426715015
3918,shrinking,shrinking,0.002228030660687122
9956,gamma,gamma,0.4277107005740389
9956,complexity / gamma,complexity / gamma,0.20781676676920635
9956,complexity,complexity,0.3100795164945881
9956,coef0 / gamma,coef0 / gamma,0.0032212580472607
9956,gamma / tol,gamma / tol,0.005283668431191937
9956,coef0,coef0,0.002302281974828854
9956,tol,tol,0.0015665797668681898
9956,imputation,imputation,0.0010545899080911026
9956,shrinking,shrinking,0.0003234209126945955
2074,gamma,gamma,0.9232642261731963
2074,complexity / gamma,complexity / gamma,0.01673215920830662
2074,complexity,complexity,0.006860590170273208
2074,coef0 / gamma,coef0 / gamma,0.015920124005559866
2074,gamma / tol,gamma / tol,0.002910487076562795
2074,coef0,coef0,0.012087251033070956
2074,tol,tol,0.0007760090267578183
2074,imputation,imputation,0.00018087086681281526
2074,shrinking,shrinking,0.0007285272427821597
219,gamma,gamma,0.77694168508662
219,complexity / gamma,complexity / gamma,0.08175831983979442
219,complexity,complexity,0.033643905919326034
219,coef0 / gamma,coef0 / gamma,0.02193123970849531
219,gamma / tol,gamma / tol,0.012402508458699337
219,coef0,coef0,0.004805171081775977
219,tol,tol,0.004550583885206514
219,imputation,imputation,0.0007903697062563751
